user,room,weight,consumption
966,107,2,0.2
966,109,1,0.1
966,186,2,0.2
38882,29,11,0.9
38882,33,10,0.0
38882,36,61,1.7
38882,7,11,1.0
38882,40,22,0.0
38882,346,26,0.8
967,141,46,4.6
38883,32,148,3.4
38883,33,11,6.7
38883,141,1,6.0
968,40,48,72.4
38884,26,6,6.0
38884,33,19,15.4
38884,36,4,4.0
973,31,47,102.0
38885,140,12,24.0
976,230,17,24.0
976,276,6,12.0
979,210,202,11.9
984,117,11,0.0
987,33,10,22.6
38886,31,15,0.0
38887,7,110,18.9
38888,33,29,16.5
38889,32,5,0.5
38889,53,147,6.3
38889,75,9,0.0
38890,33,79,0.0
38891,140,11,14.1
1010,140,67,12.0
1012,140,7,7.0
1012,38,5,5.0
38892,31,7,125.8
38892,71,1,6.0
1022,40,28,7.0
38893,368,64,6.4
38893,210,5,0.5
1025,26,16,81.2
1030,33,65,82.8
1031,109,28,46.4
38894,140,8,28.2
38894,26,11,117.8
38894,222,9,0.8
38895,38,23,68.0
1041,53,67,32.0
1043,26,7,58.5
1043,447,1,0.1
1049,365,1,0.1
1049,165,165,378.7
1049,133,1,0.1
1049,228,1,0.0
1049,210,1,0.1
1049,400,22,248.9
1049,253,1,0.1
1049,229,19,191.0
1050,33,5,93.7
1050,35,1,0.1
1050,137,1,6.0
1050,904,1,0.1
1050,109,159,50.7
1050,186,1,0.1
1053,1146,15,1.5
1053,798,47,1252.1
1053,1130,15,1.5
1053,244,18,161.5
1053,423,73,188.7
1056,26,1,0.1
1056,116,10,0.3
1057,34,2,12.1
1057,429,5,53.1
1057,914,1,12.0
1060,26,12,38.0
38896,33,53,2.5
38897,140,74,36.5
38898,346,82,49.0
1067,31,52,59.6
1072,84,93,34.7
38899,31,80,55.1
1075,140,65,6.5
1077,216,15,0.0
38900,248,73,7.3
1081,26,20,106.5
1084,368,88,17.2
1085,29,56,94.4
38901,216,2,0.0
38901,31,36,11.8
38901,204,7,0.0
38902,37,11,1.0
38903,33,13,0.0
38904,31,8,0.0
1095,320,53,36.0
1098,247,36,26.1
1100,140,2,0.2
1100,247,7,1.6
1100,248,8,0.8
1100,204,5,0.5
1101,36,2,10.0
1101,38,5,25.0
1101,346,3,22.0
1113,140,1,0.1
1113,26,1,0.0
1113,29,5,9.9
1113,553,2,0.2
1113,566,1,0.1
1113,247,1,0.1
1113,209,1,0.1
1113,53,5,31.6
1116,50,10,97.6
1119,216,161,803.6
1119,368,26,49.6
1119,116,447,81.7
1119,7,12,1.1
1119,37,119,372.2
1119,256,9,0.0
1120,36,1,0.1
1120,7,28,149.5
1122,490,7,42.0
1122,500,35,499.0
38905,36,64,89.4
38905,37,2,0.2
1132,204,6,27.0
1132,373,6,30.0
1135,140,1,1.0
1135,31,3,5.1
1135,249,4,7.5
1142,140,2,11.0
1142,26,9,8.1
1142,31,23,18.1
1142,222,2,20.0
1142,40,2,20.0
1142,319,1,10.0
1145,140,32,50.7
38906,175,24,5.9
38907,53,8,108.0
1149,26,12,20.2
38908,40,12,0.0
1157,36,8,0.0
1158,222,10,0.0
38909,222,44,0.0
38910,33,34,0.0
1163,140,1,0.1
1163,33,2,0.2
1163,247,12,133.7
1163,209,1,0.1
1163,274,1,0.1
1163,141,3,0.2
1163,248,3,0.3
1163,101,1,0.1
1169,216,141,33.9
1169,247,3,3.1
38911,7,10,0.0
1171,31,45,73.0
1173,26,1,0.1
1173,222,1,0.1
1173,874,1,0.1
1173,204,3,62.1
1173,104,2,0.2
1181,29,29,7.5
1181,31,81,45.0
1184,33,52,54.7
1191,31,69,31.7
1197,88,1,6.0
1197,247,265,26.3
1197,117,2,3.0
1197,242,14,1.4
1197,274,1,1.5
1202,33,132,56.3
38912,36,43,1.0
1204,160,4,0.4
1204,35,7,0.7
1206,320,47,68.3
38913,33,43,65.0
1210,216,43,13.0
38914,33,79,3.8
38915,222,14,0.0
1217,346,48,46.9
38916,442,23,2.7
38917,346,16,42.0
38918,31,359,127.04
38919,29,30,60.2
1224,233,2,5.1
1224,175,24,12.3
1224,248,1,5.0
1226,33,25,0.0
1233,26,2,0.2
1233,75,6,51.0
1234,26,13,137.4
1237,555,17,9.0
1237,138,1,100.0
1237,691,9,20.0
38920,46,54,0.0
1239,26,1,0.0
1239,222,9,0.3
1239,204,10,0.4
38921,7,29,31.4
1244,26,3,0.2
1244,31,1,6.0
1244,53,4,0.3
38922,33,78,19.5
38923,33,32,61.0
1251,84,4,4.0
1251,204,14,0.0
1253,33,140,95.0
38924,38,132,15.4
1255,33,59,37.1
1255,109,49,2.5
1258,184,30,28.0
1258,33,1,45.0
1258,273,12,1.2
38925,33,47,0.0
38926,38,84,30.3
1264,36,24,0.0
1266,320,29,2.9
1267,184,2,0.2
1267,33,9,0.2
1267,240,2,0.2
1267,109,43,225.6
38927,140,5,0.5
38927,26,3,3.0
1272,81,46,40.0
1272,248,2,4.0
1273,29,158,59.0
1276,33,42,0.0
1279,133,8,75.0
1283,204,22,0.0
1285,216,12,72.0
1286,432,63,60.1
1286,34,5,1.9
1286,248,3,1.7
1286,204,3,1.7
38928,7,17,60.0
38929,33,8,0.0
38930,40,25,64.2
1307,479,22,0.0
1307,126,62,2.5
38931,26,10,2.8
1314,26,24,108.0
1314,87,10,0.0
1319,53,31,25.0
1320,32,30,0.0
1320,222,32,0.0
1321,33,133,31.8
1322,175,196,39.4
1323,26,29,31.6
1323,35,2,0.3
1323,36,1,0.1
1327,29,13,78.7
1328,65,7,0.6
1328,204,198,65.8
1328,400,27,0.1
1328,149,55,23.7
38932,175,15,7.5
1331,175,32,4.1
1332,141,116,33.5
38933,140,30,14.0
1335,431,45,56.3
1337,33,26,137.9
1337,154,1,0.1
1337,109,1,0.1
1340,831,513,3738.4
1340,46,96,0.0
1340,243,2,378.0
1340,280,1,0.1
1340,421,1,300.0
38934,31,13,0.1
1351,29,22,16.3
1351,61,13,19.0
1355,33,63,28.7
38935,40,21,0.0
1357,368,16,59.3
1357,222,1,0.0
1360,109,9,0.0
1363,31,403,12.0
1363,40,33,0.0
1368,143,28,0.0
38936,141,3,0.6
38936,248,9,0.0
1371,37,20,47.7
1372,204,64,47.7
38937,141,61,4.2
1381,216,20,0.2
1381,248,49,0.0
1382,160,76,40.0
1387,31,56,44.2
1390,117,2,0.2
1390,346,233,86.0
38938,40,12,0.0
1396,116,1,7.5
1396,33,1,0.1
1396,50,5,7.7
1396,54,1,0.1
38939,35,4,32.0
38939,877,5,30.0
1398,556,16,24.0
38940,216,6,0.1
38940,109,6,0.6
38941,40,28,0.0
38942,26,26,20.5
38943,33,127,43.8
38943,40,24,13.2
1407,346,63,60.1
1408,33,28,11.5
1409,61,9,62.3
38944,38,18,2.5
38945,26,17,25.5
38946,140,2,1.5
38946,33,52,37.5
38946,35,5,7.5
38946,109,8,8.5
38947,33,12,0.0
1416,33,49,21.6
1416,346,123,19.4
1430,346,25,1.0
1431,256,47,55.0
38948,33,11,81.6
1434,222,14,23.8
1439,93,201,46.8
38949,33,22,0.0
1442,175,22,24.0
1444,543,3,0.3
1444,216,4,12.1
1444,272,5,0.5
38950,36,9,2.7
1460,585,9,0.0
1460,13,2,0.0
1463,251,1,12.0
1463,205,6,58.0
1463,46,29,0.0
1468,184,3,0.3
1468,302,1,0.1
1468,107,3,0.3
1468,117,3,0.3
1468,204,2,0.2
1468,448,36,85.4
1473,277,74,153.0
1473,33,1,6.0
1474,60,28,408.0
38951,33,44,4.3
1481,38,88,57.0
38952,31,8,60.0
1483,7,333,48.1
1488,126,28,0.0
38953,26,20,2.3
1501,611,805,80.0
1501,46,1,0.0
1503,169,65,150.3
1503,17,279,219.6
1508,160,1,0.1
1508,33,2,0.2
1508,35,8,12.8
1508,109,46,129.7
1508,102,2,0.2
1509,368,5,46.9
1509,236,6,1.0
1511,900,43,25.6
1511,17,7,0.7
1512,26,4,0.4
1512,33,7,0.7
1512,162,7,0.7
1512,175,36,26.2
1521,26,126,57.4
1523,901,34,7.5
38954,222,78,5.5
1525,35,76,153.2
38955,26,18,1.8
1526,38,14,16.9
38956,31,128,55.7
1535,222,71,68.9
1535,204,3,0.2
38957,96,132,11.5
1536,31,6,0.5
1536,154,16,115.0
1536,204,4,0.3
1537,206,60,11.9
38958,36,23,11.0
1541,26,5,5.0
1541,36,5,50.0
1546,117,15,21.0
1548,32,7,0.7
1548,50,7,0.7
1552,46,12,0.0
1555,26,5,0.5
1555,7,4,0.4
1558,1,120,142.8
1558,599,13,6.3
1558,1156,3,0.3
1559,38,9,0.7
1560,189,53,17.2
1563,36,12,20.9
1567,31,18,45.0
38959,33,26,44.7
1568,141,11,18.8
38960,320,120,44.2
38961,204,8,7.6
38962,204,16,0.0
38963,127,42,4.2
1572,37,89,45.8
38964,346,99,29.6
1577,903,12,12.5
38965,346,60,0.0
38966,26,14,1.4
38966,529,10,50.5
1581,97,103,36.0
1592,245,9,20.7
1602,133,14,17.5
1602,35,14,57.0
1602,256,15,22.0
1606,33,1,1.0
1606,247,57,96.7
1608,117,19,17.1
38967,508,18,2.1
38968,47,10,1.0
1615,26,15,124.5
1615,53,1,0.1
1617,320,2,13.5
1617,86,9,23.2
1617,397,7,266.0
38969,26,77,55.0
1626,368,25,34.2
38970,38,30,3.0
1627,222,115,101.4
1629,133,8,12.0
1630,36,17,71.0
1630,222,14,29.0
38971,29,48,0.0
1638,36,20,14.6
38972,40,9,0.0
1641,117,80,73.0
1646,216,14,90.0
1647,100,32,133.7
1648,116,2,12.0
1648,35,2,3.0
1648,74,18,40.5
1651,26,1,0.1
1651,38,7,0.6
1652,165,3,30.0
1652,184,1,1.0
1652,906,4,20.2
1652,210,2,20.0
1652,479,5,29.5
1652,498,2,11.0
1652,72,1,0.1
1652,873,1,0.1
1653,36,1,0.1
1653,204,10,1.0
1654,346,16,84.8
1665,36,23,135.8
1666,26,129,115.6
1666,470,1,0.0
1667,192,35,63.0
1668,304,11,1.1
38973,248,30,3.0
38974,346,89,45.0
38975,38,22,21.0
