user,room,weight
66564,94,1
66564,143,49
66564,204,14
66564,102,3
341,33,13
341,107,7
341,109,5
66565,33,13
66565,107,3
66565,71,5
66565,109,2
66565,100,1
66566,79,1
66566,29,1
66566,86,2
66566,368,1
66566,232,6
66566,88,19
66566,89,24
66566,247,33
66566,143,4
66566,100,18
66566,130,10
66566,346,1
66567,160,1
66567,33,18
66567,107,1
66567,175,2
66567,109,118
356,29,36
356,133,39
356,31,1
356,160,35
356,222,27
356,71,1
356,40,2
356,101,1
356,68,16
38778,33,1
38778,107,11
66568,40,10
66569,33,10
66569,175,1
66570,33,15
66570,109,5
66571,176,7
66571,877,3
361,33,14
361,508,1
361,229,1
363,57,12
363,58,4
66572,36,14
66573,122,71
66574,114,178
66574,160,9
66574,58,1
369,33,121
369,107,2
369,109,1
370,36,23
370,7,6
370,175,21
371,320,8
371,36,20
66575,33,18
66575,107,2
66576,160,2
66576,33,14
66576,35,1
66576,107,14
380,33,9
382,33,6
382,58,2
382,74,15
66577,29,41
66577,31,45
66577,35,4
66577,71,9
66577,109,2
66577,875,8
66578,33,12
66579,33,44
66579,109,1
389,160,1
389,33,3
389,35,6
389,109,1
38782,210,105
390,133,11
390,35,6
390,222,4
390,256,1
390,68,2
391,26,10
391,53,14
391,524,3
391,342,2
391,534,5
66580,33,88
394,33,405
394,175,2
394,71,3
394,109,100
397,33,26
397,71,8
397,108,5
397,109,12
66581,33,2
66581,71,15
66582,33,3
66582,109,8
401,79,1
401,160,2
401,239,4
401,109,2
401,479,2
401,126,3
401,102,14
66583,33,24
38784,33,59
38784,107,5
38784,71,2
38784,108,2
38784,109,15
38784,185,2
408,33,10
408,71,1
408,508,2
408,109,1
409,33,16
409,35,1
409,107,1
409,109,13
409,875,3
66584,33,12
66584,40,4
414,36,3
414,38,11
416,160,2
416,33,10
416,58,2
66585,160,1
66585,33,81
66585,107,10
38790,33,3
38790,175,111
38790,702,2
66586,84,1
66586,218,127
422,122,19
422,67,4
66587,33,232
66587,35,1
66587,175,4
66587,109,75
424,36,3
424,37,2
424,42,4
424,130,1
425,35,5
425,248,3
426,84,13
426,36,2
426,89,1
426,247,16
428,184,2
428,160,1
428,57,1
428,33,43
428,107,13
428,117,1
428,71,3
428,108,16
428,109,6
429,33,19
429,109,1
430,35,1
430,40,60
66588,33,2
66588,162,20
66588,222,5
66588,109,1
66589,36,1
66589,40,11
438,116,1
438,33,26
438,35,1
438,108,1
442,35,1
442,36,3
442,92,3
442,247,7
442,210,32
442,143,200
444,31,1
444,33,3
444,96,3
444,143,1
66590,33,25
66590,58,3
66590,175,1
66590,109,2
66591,33,17
66591,107,6
66591,71,2
66591,109,10
66592,33,12
38798,33,1
38798,40,9
66593,71,24
38799,36,120
38800,33,1635
38800,107,340
38800,175,45
38800,71,18
38800,109,3
38800,67,7
451,353,111
66594,160,1
66594,33,7
66594,35,1
454,96,1
454,52,10
454,378,5
66595,33,24
66595,109,4
457,58,3
457,124,11
66596,71,23
462,33,63
462,35,1
462,109,15
462,54,1
464,216,1
464,320,2
464,86,1
464,7,25
464,37,2
464,59,1
464,143,2
464,42,1
66597,40,35
66598,160,11
66598,122,2
66598,58,2
469,33,10
469,58,15
66599,33,58
66599,107,1
38802,33,112
38802,107,7
38802,175,4
38802,71,7
38802,109,67
66600,33,11
66600,71,2
472,49,1
472,31,23
472,7,4
472,74,28
472,175,19
472,53,3
472,109,3
472,127,14
66601,33,8
66601,71,1
66602,216,1
66602,33,2
66602,93,12
66602,109,1
473,33,15
473,109,20
473,101,1
474,33,46
474,109,31
66603,160,23
66603,57,1
66603,33,75
66603,58,1
66603,71,52
66603,108,1
66603,109,27
38803,114,7
38803,33,1
478,57,1
478,33,9
478,58,3
478,74,1
478,175,10
478,71,5
478,109,42
478,101,17
478,177,2
478,364,3
66604,216,60
66604,36,5
66604,89,2
66604,508,1
66605,33,1
66605,51,19
66606,33,445
66606,107,1
66606,175,14
66606,109,29
66607,33,43
66607,109,3
479,31,4
479,33,178
479,122,2
479,107,10
479,175,11
479,109,15
480,29,2
480,160,6
480,115,2
480,33,46
480,37,1
480,58,2
480,107,2
480,175,2
480,71,10
480,109,95
66608,71,26
66608,109,6
38804,33,111
38804,175,5
38804,71,28
38804,109,7
481,33,2
481,88,1
481,58,6
481,107,20
481,117,139
481,256,14
481,248,47
481,126,8
483,114,1
483,93,1
483,175,14
483,141,8
484,109,12
66609,33,7
66609,107,1
66610,31,6
66610,87,1
66610,58,1
487,33,20
487,35,1
66611,33,14
66611,109,3
493,160,2
493,33,8
493,51,2
493,175,5
493,71,1
493,109,12
494,31,32
66612,116,5
66612,33,12
502,368,1
502,33,8
502,40,2
502,141,3
66613,94,1
66613,141,15
66613,130,1
38811,33,17
38811,71,7
66614,88,10
503,7,271
503,38,13
66615,33,38
66615,109,32
66616,31,57
66616,33,2
66616,122,10
506,320,2
506,84,1
506,167,108
506,168,21
506,286,25
506,141,3
507,84,82
507,160,1
507,33,5
507,162,1
507,58,10
507,71,18
509,216,1
509,114,13
509,160,5
509,222,5
509,95,126
509,289,39
511,29,92
511,31,155
511,160,1
511,33,16
511,37,1
511,71,1
511,109,11
513,116,8
513,74,4
518,160,3
518,57,5
518,33,24
518,135,1
518,107,123
66617,84,4
66617,33,13
66617,247,6
66617,141,1
38814,175,31
521,79,1
521,368,8
521,33,5
521,71,1
521,40,3
521,109,2
66618,33,16
66619,29,6
66619,31,5
526,33,17
526,122,5
526,91,5
66620,71,9
38815,368,4
38815,35,11
38815,36,12
38815,175,2
38815,40,3
66621,214,16
38817,33,4
38817,109,4
66622,160,2
