user,room,weight
87098,1138,9
74390,1138,22
4605,1200,2
4605,367,14
4605,1117,8
66892,1138,27
23122,655,13
12276,368,16
34793,739,22
96901,1101,16
15880,342,18
107968,1267,35
92341,1101,8
69220,1120,20
78043,1120,23
93771,1178,8
35550,642,72
50970,689,16
37326,670,10
36106,703,17
26274,690,10
68148,1139,30
65485,1251,17
24030,767,40
56550,1178,14
59087,1139,24
14885,342,8
62060,1138,8
83252,1190,8
30370,703,19
88129,1138,29
99969,1101,12
59459,1149,8
48982,642,95
104627,1101,32
59035,1101,24
30702,832,24
34135,655,9
41385,1101,5
41385,642,21
41385,1126,14
96159,1138,40
85442,1138,38
50473,753,12
39649,663,35
36482,819,16
20388,663,52
74507,1149,12
26139,663,151
74724,1140,9
70574,1101,144
69328,1120,10
103325,1161,26
86739,1138,15
77082,1491,57
75498,1138,28
69658,1117,8
78580,1101,22
59015,1173,29
79368,1295,23
35900,663,8
84849,1149,8
86484,1101,14
29563,718,17
17862,670,77
76090,1138,42
76090,1200,1
64655,1190,40
16559,411,92
83040,1258,39
26239,642,12
98343,1149,64
17163,411,31
81974,1200,26
89514,1138,16
16431,405,6
16431,663,9
38964,670,42
62708,1143,9
83761,1138,10
81752,1138,4
81752,1357,4
24141,833,15
52845,745,14
105005,1149,17
61300,1143,15
48660,665,14
94708,1138,10
70945,1149,25
13565,367,40
89900,1120,82
18565,663,12
73152,1104,88
20007,669,8
58826,1217,47
26417,642,40
56506,1101,118
64673,1138,617
20281,703,100
36061,715,21
74990,1101,99
88487,1138,40
42237,690,12
19315,843,24
72312,1104,48
32117,703,34
46685,1138,6
46685,689,2
15904,305,41
62488,1200,1
62488,1120,8
79684,1101,11
98434,1190,3
98434,1138,3
98434,1178,3
76389,1104,33
33766,655,12
38084,642,12
85826,1409,9
85826,1173,8
43610,642,81
107873,1101,16
73199,1104,140
45176,732,95
23083,663,8
66092,1138,16
38470,669,11
89902,1149,8
71312,1120,8
104762,1140,44
10244,450,3
10244,702,9
21276,669,24
22172,655,36
85156,1178,8
66005,1214,528
13966,343,16
31265,1101,49
31265,703,1
23475,655,69
71302,1190,71
71302,1178,11
92160,1101,38
62741,1138,10
46024,642,8
57617,1149,25
20341,663,17
28474,1101,11
28474,703,12
93330,1101,40
81924,1138,38
92390,1101,14
17815,1101,103
17815,703,26
26226,670,11
77558,1151,9
12654,305,8
88639,1101,17
32434,690,5
32434,1117,3
11640,720,4
11640,367,7
40000,689,10
33634,663,20
4298,450,364
50049,932,12
83004,1149,17
107702,1161,10
56101,748,2
56101,1467,10
99323,1200,37
86360,1120,37
73377,1101,12
13763,367,9
25266,1178,1
25266,670,14
97960,1182,20
96108,1247,19
39099,690,24
14589,305,18
67413,1138,56
67978,1101,32
70369,1101,64
80773,1216,9
40356,670,10
106435,1140,15
79444,1190,8
99685,1156,8
71315,1101,49
42502,642,24
8271,519,27
59954,1178,17
79078,1409,25
103494,1120,16
80975,1190,12
58471,1139,21
70782,1117,8
106239,1138,10
34033,690,8
64233,1138,100
89906,1138,90
97086,1318,9
36520,739,14
62901,1140,8
49120,1101,9
49120,703,15
77582,1101,8
48908,642,13
55710,690,15
59600,1101,79
74824,1101,15
89334,1178,36
12580,351,17
14322,305,13
26512,718,8
34204,655,8
42737,663,10
21037,826,123
21037,1139,426
23474,670,35
68276,1101,52
37587,689,105
37587,723,41
40634,689,12
34740,663,18
37772,1101,26
37772,703,1
15141,305,18
93452,1182,12
11722,305,50
69588,1101,15
43756,642,15
51805,642,22
61924,1217,12
61924,1120,13
41578,670,21
28678,663,12
66047,1135,12
43391,694,16
11774,362,151
19488,663,12
103152,1138,16
66802,1267,8
89559,1138,8
8589,690,3
8589,367,5
33866,1059,4
33866,1428,5
87245,1262,10
97781,1138,20
35641,642,50
103275,1190,20
103275,1178,8
67009,1178,113
5469,342,8
29325,663,17
4969,498,43
103309,1138,22
27097,690,12
57993,1104,16
61020,1143,43
101718,1200,20
27483,753,8
27483,1126,3
24812,670,12
93712,1101,11
33396,670,8
22932,819,3
22932,1438,12
34184,670,49
71734,1151,8
39334,663,28
98696,1424,15
17790,670,176
19301,663,16
82514,1101,75
92376,1101,14
46689,1138,5
46689,663,4
28698,745,9
34365,701,10
33793,663,9
87970,1138,10
43688,655,12
69758,1101,76
32461,1044,28
32461,1149,29
62445,1138,34
43267,703,24
71040,1101,16
73530,1120,17
81989,1101,20
70588,1178,12
57188,1151,10
79693,1101,25
83212,1178,197
92890,1101,19
19694,689,11
47419,882,99
49281,663,8
36433,663,13
95094,1159,34
45452,670,35
108702,1247,46
80181,1279,33
48916,663,38
97479,1125,8
76137,1138,9
14990,305,8
79100,1149,8
97488,1135,82
46409,642,8
24876,813,27
43212,669,8
64174,1120,10
36436,1178,4
36436,663,13
15340,305,9
95587,1580,8
65812,1190,7
65812,1178,14
36237,718,19
38033,689,39
28122,642,12
67154,1138,14
89273,1190,10
89273,1178,4
81520,1101,9
2861,367,12
74449,1138,14
75355,1120,64
102462,1256,8
19069,663,11
107865,1223,12
41166,642,25
38627,670,28
46513,703,50
6035,305,16
107680,1328,11
33540,655,13
33540,1104,20
84918,1138,20
32634,720,73
48218,642,27
85691,1182,23
38834,1101,16
38834,719,12
38779,1101,3
38779,745,6
27143,663,49
59595,1258,12
59595,1173,11
59595,1135,13
72367,1101,29
1324,305,27
67010,1101,27
67010,1200,8
56811,1143,8
49889,690,26
94177,1138,13
102933,1138,16
33570,663,35
82685,1266,28
47763,690,26
84795,1101,16
71530,1138,10
70795,1120,9
38797,642,104
79948,1190,16
56686,1262,40
63820,1138,12
93735,1190,11
93735,1178,3
10842,435,20
84664,1104,27
80388,1120,29
25017,707,8
26689,1101,35
26689,703,13
74817,1159,16
98895,1200,42
74750,1257,14
30552,690,9
33281,642,43
15373,367,8
8809,351,65
107993,1120,9
7212,343,14
3738,494,10
76734,1266,18
37892,642,8
65021,1138,22
67607,1140,15
32921,669,12
56609,1149,57
56609,1543,1
40290,803,6
40290,1178,3
18779,648,10
65268,1138,11
13779,655,5
13779,404,3
37155,669,9
48560,663,8
108477,1101,27
46557,663,28
104865,1138,13
34719,739,44
43476,1138,75
43476,725,13
332,648,56
332,175,8
65144,1138,8
105120,1101,14
40184,753,33
71369,1101,112
66746,1117,61
82832,1101,22
82832,1370,1
80666,1149,20
102635,1143,29
70074,1138,9
57033,1101,8
35278,663,20
28283,663,8
89587,1138,1
89587,1178,15
93496,1200,16
41065,642,14
37773,690,18
105912,1256,23
20225,891,8
46184,669,12
62997,1120,122
40203,881,11
41332,689,38
86268,1142,38
65863,1143,45
19614,832,11
97115,1140,9
75605,1149,14
19469,731,32
69945,1101,275
27168,724,61
53556,689,12
91303,1138,3
91303,1120,9
52045,642,8
3606,1101,1
3606,1161,2
3606,648,3
3606,362,3
82193,1190,9
82193,1178,8
9027,359,13
26851,663,8
35700,1138,1
35700,663,12
8717,1178,3
8717,351,5
55107,642,50
271,1190,6
271,669,7
271,1101,4
271,1008,11
271,1258,1
271,986,2
271,1149,1
271,1542,2
271,1138,3
271,1269,1
271,1266,3
271,753,2
271,535,3
271,909,1
271,689,13
271,1171,1
271,655,1
271,690,5
271,719,12
271,1277,2
271,650,3
271,1159,3
271,404,2
271,715,1
271,752,6
271,720,2
271,1184,1
271,1165,2
271,725,6
271,1154,9
271,699,5
271,1259,2
271,1311,4
271,767,3
271,1129,3
271,749,2
271,1222,9
271,951,7
271,1121,8
271,1217,3
271,1134,43
271,930,1
271,833,7
271,1359,10
271,1264,1
271,932,18
271,729,8
271,351,2
271,432,10
271,417,3
271,1274,4
271,1136,1
271,739,2
271,1310,2
271,834,1
271,1225,1
271,792,4
271,1120,6
271,1303,8
271,405,8
271,1177,2
271,446,4
271,814,3
271,659,4
271,367,1
271,893,3
271,59,16
271,1383,2
271,1208,2
271,1561,4
271,1117,2
271,817,4
271,836,11
271,938,7
271,709,3
271,769,1
271,1233,2
271,928,19
271,920,2
271,899,1
271,821,2
271,1142,3
271,1299,3
271,1465,1
271,846,16
271,1182,4
271,667,4
271,407,11
271,757,1
271,688,2
271,1321,35
271,531,1
271,1140,1
271,760,4
271,697,2
271,376,1
271,674,6
271,397,1
271,1291,4
271,810,4
271,1547,1
271,450,7
271,75,1
271,190,2
271,353,12
271,642,5
271,731,1
271,1519,9
271,1476,4
271,354,14
271,1428,1
271,745,3
271,1335,1
271,795,1
271,416,2
271,1265,6
271,359,3
271,344,1
271,573,1
271,1273,2
271,873,3
271,1133,7
271,972,9
271,1185,3
271,1368,2
271,636,6
271,815,11
271,93,1
271,1508,4
271,1534,1
271,438,5
271,1146,6
271,576,2
271,864,2
271,812,4
271,774,1
271,1296,1
271,1507,1
271,839,6
271,1420,6
271,1295,2
271,1356,3
271,45,1
271,782,3
271,1262,2
271,1246,2
271,1257,2
271,1386,2
271,708,2
271,924,5
271,934,1
271,694,3
271,1298,5
271,700,36
271,459,3
271,771,16
271,702,1
271,1050,1
271,947,21
271,888,1
271,664,11
271,1239,1
271,1347,1
271,1398,2
271,1558,3
271,1470,1
271,1620,2
271,838,4
271,706,1
